Player,Team,Rookie,Rating,GP,MPG,PPG,RPG,APG,FG %,FT %
James Harden, HOU,0,86.25,45,36.2,27.6,5.6,6.8,45.5,88.7
Anthony Davis, NO,0,85.82,41,36,24.5,10.4,1.7,55.6,82.9
LeBron James, CLE,0,82.9,37,37.3,26.4,5.6,7.4,49.2,73.3
Stephen Curry, GS,0,81.1,43,33.1,22.8,4.7,8.2,49.1,92.1
Blake Griffin, LAC,0,80.29,45,35.4,22.8,7.6,5.1,50,71.6
Jimmy Butler, CHI,0,79.63,43,39.5,20.1,6,3.3,45.9,83.4
Pau Gasol, CHI,0,79.27,44,35,18.3,11.9,2.8,48.5,82.5
LaMarcus Aldridge, POR,0,79.11,39,35.8,23.3,10.2,1.9,46,86.9
Damian Lillard, POR,0,79.06,45,36.2,22,4.7,6.2,43.9,86.4
Chris Paul, LAC,0,78.62,45,34.4,17.4,4.7,9.8,47.1,89.3
Kyrie Irving, CLE,0,76.88,43,38.1,21.3,3.1,5.2,46.6,84.4
Nikola Vucevic, ORL,0,76.75,42,34.5,19.5,11.2,2,53.6,77.2
Marc Gasol, MEM,0,76.62,45,34.4,18.9,8.2,3.8,50,80.4
Kyle Lowry, TOR,0,76.36,45,34.8,19.6,4.9,7.4,42.8,80.8
John Wall, WAS,0,76,46,35.7,17.3,4.3,10.2,46.5,76.3
Klay Thompson, GS,0,75.95,42,32.6,23,3.6,3,48.1,85.9
DeMarcus Cousins, SAC,0,75.62,31,33.9,24.2,12.6,3.2,48.1,80.7
Rudy Gay, SAC,0,75.3,40,35.2,20.2,6,4.1,44.8,86.4
Ty Lawson, DEN,0,74.8,43,37.1,17.1,3.3,10,44.4,71.9
Gordon Hayward, UTA,0,74.8,45,34.9,19.2,4.7,4.1,45.6,81.1
Kevin Love, CLE,0,73.97,44,35.3,17.2,10.3,2.3,43,82.1
Paul Millsap, ATL,0,73.27,44,33.3,17,7.9,3.2,48.6,74
Carmelo Anthony, NY,0,72.84,34,36.1,24.1,6.7,3.1,45,79.1
Kemba Walker, CHA,0,72.16,42,35.6,18.8,3.8,5.2,39.9,82.3
Chris Bosh, MIA,0,72.14,37,35.4,21.3,7.5,2.1,47.1,78.2
Eric Bledsoe, PHO,0,71.79,46,33.6,16.9,5.3,6,44.5,81.6
DeAndre Jordan, LAC,0,71.69,45,33.5,10.2,13.4,0.6,73.1,41
Monta Ellis, DAL,0,71.64,46,33.8,20.3,2.5,4.4,45.6,77.8
Brandon Knight, MIL,0,70.99,45,32.4,17.9,4.2,5.1,43.9,89
Jeff Teague, ATL,0,70.43,41,31.4,17.1,2.7,7.5,47.3,86.6
Tyreke Evans, NO,0,70.2,44,34.5,17,5.3,5.6,43.8,68.3
Mike Conley, MEM,0,70.09,42,32.1,17.4,3.4,5.6,45.6,85.5
Al Horford, ATL,0,70.09,43,30.4,15.2,6.7,3.2,54.6,75
Zach Randolph, MEM,0,69.99,36,32.5,17.1,11.9,1.7,51.3,74
Darren Collison, SAC,0,69.75,40,35.4,16.4,3.2,5.8,46.5,79.3
Tobias Harris, ORL,0,69.44,41,34.4,17.4,6.6,1.9,46.5,78.8
Dirk Nowitzki, DAL,0,69.29,43,29.7,18.7,6,2,47,89.9
Tyson Chandler, DAL,0,69.08,44,31.1,10.5,11.9,1.2,67.4,74.7
Russell Westbrook, OKC,0,68.85,31,32.1,24.7,6,7.6,42.4,80
Joe Johnson, BKN,0,68.71,42,35.5,15.5,4.6,3.7,42.7,80.8
Tim Duncan, SA,0,68.71,41,30.3,14.8,10,3.1,48.8,72.9
Goran Dragic, PHO,0,68.57,44,33.1,16.5,3.6,4.1,50.7,77.9
Kobe Bryant, LAL,0,68.35,35,34.5,22.3,5.7,5.6,37.3,81.3
Draymond Green, GS,0,68.27,43,31.9,11.6,8,3.6,44,69.5
Derrick Favors, UTA,0,68.1,41,30.6,15.7,8.6,1.4,54.2,66.9
Kyle Korver, ATL,0,68.1,44,32.9,12.9,4.2,2.9,51.6,92.3
Greg Monroe, DET,0,67.9,44,29.7,15.2,10.3,2,48.9,76.7
Serge Ibaka, OKC,0,67.41,45,32.8,14.2,7.5,0.9,46.2,82.8
Wesley Matthews, POR,0,67.38,45,33.9,16.5,3.4,2.2,46,73.4
Chandler Parsons, DAL,0,67.15,45,32.9,15.5,4.6,2.2,45.7,72.9
Jrue Holiday, NO,0,66.83,37,33.7,15.2,3.5,7.1,44.4,85.1
Dwyane Wade, MIA,0,66.76,35,32.3,21.4,3.8,5.4,48.7,73.6
Luol Deng, MIA,0,66.21,41,32.7,14.3,5,1.9,49.6,71.9
Trevor Ariza, HOU,0,66.16,45,35.7,12.4,5.4,2.2,37,85.2
Andrew Wiggins, MIN ,1,65.84,44,33.5,15.2,4.3,1.8,42.9,72.4
Andre Drummond, DET,0,65.76,46,29.4,12.5,12.9,0.5,49.3,41.8
Arron Afflalo, DEN,0,65.57,45,33.7,15.2,3.6,1.9,43.4,84.8
Kevin Durant, OKC,0,65.54,21,33.1,25.6,6.7,4.1,51.9,85.8
Jared Sullinger, BOS,0,65.51,43,28.7,14.2,8.2,2.2,45.1,75
Al Jefferson, CHA,0,65.43,36,31.4,17.4,8,1.8,48.5,68.6
Markieff Morris, PHO,0,65.24,46,30.3,15.3,5.7,2,49.1,77.8
Wilson Chandler, DEN,0,65.05,44,32.3,14.1,6,1.5,41.2,78.5
Gorgui Dieng, MIN,0,64.84,44,29.8,9.8,8.6,2.2,49.7,80
Victor Oladipo, ORL,0,64.81,39,33.6,16.5,3.8,3.8,45.9,78.9
Jeff Green, MEM,0,64.7,41,32.3,16.7,4.3,1.6,43.2,86
Danny Green, SA,0,64.64,45,30.9,12.1,4.3,2,42.9,84.8
Reggie Jackson, OKC,0,63.72,42,29.5,13.9,4.1,4.5,42.7,86.8
Marcin Gortat, WAS,0,63.66,46,29.6,11.9,8.2,1,54.3,68.9
Thaddeus Young, MIN,0,63.63,39,32.3,14.3,4.8,2.8,44.2,63.5
Michael Carter-Williams, PHI,0,63.54,36,34.2,15.3,6,7.1,38.1,64.2
Dwight Howard, HOU,0,63.11,32,32.2,16.3,11,1.4,57.5,52.7
Brandon Jennings, DET,0,62.91,41,28.6,15.4,2.5,6.6,40.1,83.9
Bradley Beal, WAS,0,62.91,37,33.4,14.9,3.8,3.3,42.7,82
Jonas Valanciunas, TOR,0,62.48,44,26.4,12.5,8.5,0.4,55.3,80.7
Jordan Hill, LAL,0,62.2,46,28.1,12.2,8,1.4,47.6,76.5
J.J. Redick, LAC,0,62.19,45,29.6,14.9,1.7,1.6,46.8,86.3
Giannis Antetokounmpo, MIL,0,62.14,45,28.6,11.4,6.1,2.3,49.5,72.4
Harrison Barnes, GS,0,61.99,43,29.7,10.4,6,1.4,49.7,72.7
Josh Smith, HOU,0,61.78,46,28.7,12,6.4,3.7,40.6,45.8
Kenneth Faried, DEN,0,61.77,42,27.6,11.9,9,1.3,51,67.8
Courtney Lee, MEM,0,61.75,42,32,11.3,2.4,2.2,48.3,85.7
Enes Kanter, UTA,0,61.7,41,27.2,14.1,7.5,0.6,50,82.1
Trey Burke, UTA,0,61.68,44,32,12.7,2.5,4.8,37.3,81
Ryan Anderson, NO,0,61.54,44,29.1,14.9,5,1,41.6,84.5
DeMarre Carroll, ATL,0,61.17,40,31.7,11.8,5.4,1.6,46.5,67.6
Paul Pierce, WAS,0,61.09,43,26.9,12.8,4.5,2,45.8,79.2
Rajon Rondo, DAL,0,60.69,40,31.3,9.3,6.5,9.1,41,30.9
Ben McLemore, SAC,0,60.5,43,33.1,11.7,3.1,1.6,45.2,82.9
Jamal Crawford, LAC,0,60.39,44,25.8,15.7,2,2.8,40,90.9
Nicolas Batum, POR,0,60.12,38,33.4,9.1,5.2,4.6,38.7,80
Amir Johnson, TOR,0,59.93,42,26.5,9.7,5.8,1.4,57.5,60.8
Solomon Hill, IND,0,59.84,47,31.6,9.8,4.3,2.3,38.3,80.3
Jarrett Jack, BKN,0,59.8,44,29.3,11.5,3.2,4.5,44.4,84.6
Tristan Thompson, CLE,0,59.63,46,28.7,9.5,8.3,0.5,53.3,62.4
Derrick Rose, CHI,0,59.62,36,30.2,18.6,3.1,4.9,41.6,80.8
Avery Bradley, BOS,0,59.45,42,30.4,13.1,2.7,1.5,42.9,79.2
Donatas Motiejunas, HOU,0,59.24,45,27.8,10.9,6.1,1.7,50.8,64.4
Kawhi Leonard, SA,0,59.14,28,32,15.5,8.1,2.4,45,78.5
Mario Chalmers, MIA,0,59.11,45,30.9,10.9,2.7,4.2,40.8,78.7
Kentavious Caldwell-Pope, DET,0,59.03,46,31.6,11.8,3.2,1.1,39.2,70.5
Khris Middleton, MIL,0,58.86,42,25.5,10.6,4,1.7,46.9,81.2
Evan Fournier, ORL,0,58.73,45,29.4,12.6,2.6,2,43,71
Lou Williams, TOR,0,58.39,45,24.3,14.9,1.8,1.7,40.3,85.5
Isaiah Thomas, PHO,0,58.32,38,25.6,15.4,2.3,3.7,44.3,87.4
Carlos Boozer, LAL,0,58.23,45,24.8,12.1,6.9,1.2,52.5,59.4
Matt Barnes, LAC,0,57.88,43,28.6,9.8,3.6,1.3,47.6,81
Corey Brewer, HOU,0,57.8,43,26.4,10.9,3.2,2.7,42.5,73.9
Timofey Mozgov, CLE,0,57.77,45,25.9,8.7,8,0.4,51.3,73
Wesley Johnson, LAL,0,57.64,43,29.2,9.2,3.6,1.8,40.8,80
Evan Turner, BOS,0,57.43,43,25.2,9.2,4.5,4.4,44.7,75
Roy Hibbert, IND,0,57.39,43,25,11.1,7,1.3,44.8,81.9
Deron Williams, BKN,0,57.33,32,31.2,13.9,3,6.2,39.6,86.2
P.J. Tucker, PHO,0,57.2,42,27.9,7.7,5.8,1.6,45,76.8
Patrick Patterson, TOR,0,57.05,45,26.1,8.3,5.4,1.9,46.9,78.4
Jeremy Lin, LAL,0,57.02,45,25.7,10.5,2.5,4.6,42.8,76.9
Taj Gibson, CHI,0,57,38,28.7,11.3,7.1,1.4,49.3,69.5
Mo Williams, MIN,0,56.9,36,28.4,12.5,2.3,6.4,39.9,85
Kelly Olynyk, BOS,0,56.88,40,24.5,11.1,5.4,1.7,50.6,68.2
Terrence Ross, TOR,0,56.58,45,26.6,10.7,3.3,0.9,41.3,84.6
Rudy Gobert, UTA,0,56.57,45,21.6,6.8,7.2,1.1,63.9,67.3
Mason Plumlee, BKN,0,56.5,44,22.7,10.4,6.7,0.9,59.4,49.2
Channing Frye, ORL,0,56.44,47,29.6,8,4.6,1.5,39.6,85.7
Gerald Green, PHO,0,56.37,46,21.6,13.5,2.9,1.2,41.8,87.4
Ed Davis, LAL,0,56.36,46,24.1,8,7,1,59.3,52.2
Cory Joseph, SA,0,56.31,44,24.3,9.3,3,3,51.4,72.5
Nerlens Noel, PHI ,1,56.18,41,30.1,8,7.3,1.5,42.7,52.7
Manu Ginobili, SA,0,56.11,40,24.7,12.4,3,4.8,41.9,74.1
O.J. Mayo, MIL,0,55.86,45,24.4,11.4,2.5,2.9,42.9,83
Elfrid Payton, ORL ,1,55.82,48,27.5,7.8,3.6,5.8,41.6,52.8
Gerald Henderson, CHA,0,55.79,43,26.3,10.3,2.9,2.2,44.3,86.5
Brook Lopez, BKN,0,55.74,34,26.4,14.6,6,0.6,49.6,82
Omer Asik, NO,0,55.6,41,25.8,7.2,10,0.9,51.9,58.1
Boris Diaw, SA,0,55.46,45,25.6,8.6,4.4,3.2,45.2,73
Rodney Stuckey, IND,0,55.22,39,26.3,11.6,3.7,3,42.6,81
K.J. McDaniels, PHI ,1,54.7,44,26.1,9.2,3.8,1.4,39.5,74.1
Tyler Zeller, BOS,0,54.59,43,20,9.4,5.3,1.4,56.9,84.8
 Nene, WAS,0,54.59,39,25,11.1,5.2,2,52,61.3
Marreese Speights, GS,0,54.33,42,18.5,12.3,5.1,1,51.1,81.5
Joakim Noah, CHI,0,54.3,36,30.3,7.8,9.3,3.6,44.6,62.2
Patrick Beverley, HOU,0,54.22,33,31.1,11.4,4.6,3.2,40.1,70.7
David West, IND,0,54.09,32,29.7,12.8,7,3.3,47,77
Henry Sims, PHI,0,53.85,45,21.5,9.4,5.6,1.1,49,79.4
Robert Covington, PHI,0,53.68,35,27.7,12.3,4.3,1.2,38.9,83.5
Aaron Brooks, CHI,0,53.65,47,20,11.1,1.8,2.9,45,86.3
Shabazz Muhammad, MIN,0,53.48,35,23.3,13.7,4,1.2,48.8,72.2
Steven Adams, OKC,0,53.39,44,24.4,7.4,7.2,0.9,53.3,52.5
Jared Dudley, MIL,0,53.32,45,22.4,7.4,3,1.6,49.2,76.2
Tony Parker, SA,0,53.31,32,29,14.4,1.7,4.7,48.1,79
Luis Scola, IND,0,53.27,47,20.4,9,6.3,1.5,45.6,66.1
Zaza Pachulia, MIL,0,53.26,42,23.2,7.9,6.6,2.3,44.5,78
Rasual Butler, WAS,0,53.26,42,22.5,9.3,2.9,0.9,46.2,78
Kris Humphries, WAS,0,53.16,45,21.6,8.3,6.6,0.9,47.3,75.3
Donald Sloan, IND,0,53.15,39,25,9.6,3.4,4.4,41.3,78.7
Alex Len, PHO,0,53.1,46,20.5,6.4,6.1,0.4,56.5,73.2
Tim Hardaway Jr., NY,0,53.1,44,23.2,11.4,2,1.8,39.2,82.5
Dion Waiters, OKC,0,52.86,43,24.8,10.7,1.8,2.1,39.8,75.3
Cody Zeller, CHA,0,52.75,44,23.9,7.6,5.5,1.5,45.1,75
Marcus Morris, PHO,0,52.57,46,23,9.8,3.8,1.4,46.1,63.8
D.J. Augustin, DET,0,52.53,46,22.1,9.2,1.8,4.3,40.3,83.5
Greivis Vasquez, TOR,0,52.49,45,22.5,9.4,2.5,3.7,39.6,71.4
Chris Kaman, POR,0,52.48,44,20.4,9.5,6.8,1,48.7,69.2
Luc Richard Mbah a Moute, PHI,0,52.43,38,28.1,9.4,4.7,1.2,41.7,63.4
Devin Harris, DAL,0,52.16,44,22.2,8.4,1.8,3.3,41.5,79.1
Tony Wroten, PHI,0,52.01,30,29.8,16.9,2.9,5.2,40.3,66.7
Andre Iguodala, GS,0,51.84,41,27,6.8,3.1,2.9,44.4,50.8
DeMar DeRozan, TOR,0,51.81,24,32.9,18.3,4,2.5,40.3,79.6
Jerryd Bayless, MIL,0,51.39,44,21.1,7.7,2.1,3,44.9,93.8
Alec Burks, UTA,0,51.21,27,33.3,13.9,4.2,3,40.3,82.2
Brandon Bass, BOS,0,51.2,43,19.8,9.3,4,1.2,47.7,78.3
Amar'e Stoudemire, NY,0,51.06,32,24.9,12.2,7,1,55.1,71.3
Kyle Singler, DET,0,51,46,23,7.3,2.6,1.1,40.7,78.1
Tony Allen, MEM,0,50.97,37,25.3,8,3.7,1.5,47.6,72.5
J.R. Smith, CLE,0,50.94,35,28,11.9,2.7,2.9,40.1,72
Anthony Morrow, OKC,0,50.9,38,24.5,9.5,2.6,0.9,42.4,85.7
Beno Udrih, MEM,0,50.48,43,18.7,7.9,1.8,3.2,51.3,86.4
Mike Dunleavy, CHI,0,50.37,33,29.5,9.6,3.8,1.7,44.7,76.6
James Johnson, TOR,0,50.29,40,20.4,7.7,4.1,1.5,59.8,66.7
Marvin Williams, CHA,0,50.27,43,24.7,6.5,4.5,1.2,43.1,64.9
Shawne Williams, MIA,0,50.23,42,21.4,6.9,3.3,0.8,43.3,84.8
Nick Young, LAL,0,50.12,35,23.9,14.1,2.3,1,37.3,92.2
Jose Calderon, NY,0,50.04,31,30.5,9.2,3.3,4.4,39.9,100
Nikola Mirotic, CHI ,1,49.7,47,18,7.8,4.6,1.1,40.9,78
Zach LaVine, MIN ,1,49.51,41,22.8,8,2.2,3.4,40.5,81.1
Jason Thompson, SAC,0,49.43,42,25.1,5.6,6.4,0.9,46.6,62.3
C.J. Miles, IND,0,49.38,36,25,12.4,2.9,1.2,36.6,78.8
Lavoy Allen, IND,0,49.36,41,21.2,6.5,6.6,1.4,49.2,69.2
Jason Terry, HOU,0,49.22,42,22.1,7.8,1.4,2,42.7,76.7
Thabo Sefolosha, ATL,0,49.21,43,19.4,5.3,4.4,1.5,43.1,74.5
Bojan Bogdanovic, BKN ,1,49.18,43,22.6,7.4,2.5,0.7,41.2,86.8
Brandan Wright, PHO,0,49.18,41,17,7.1,3.5,0.5,70.4,70.7
Mirza Teletovic, BKN,0,49.17,40,22.3,8.5,4.8,1.2,38.2,71.7
Shane Larkin, NY,0,49.15,42,22.7,5.6,1.9,2.5,41.7,86.7
Lance Stephenson, CHA,0,49.12,31,31,9.8,6.1,4.8,38.5,60.3
Quincy Acy, NY,0,49.06,39,21.1,6,5,1.1,52,74.1
Jason Smith, NY,0,48.61,45,19.5,7.4,3.2,1.2,43.1,83.1
Shawn Marion, CLE,0,48.28,42,22,5.6,3.9,1,44.6,80
Kirk Hinrich, CHI,0,48.09,40,27.6,6.9,1.9,2.6,37.3,73.3
Dennis Schroder, ATL,0,47.96,43,17.7,8.1,2,3.3,44.1,77.4
Andrew Bogut, GS,0,47.96,29,24.3,6.8,8.7,2.8,54.9,63
Alan Anderson, BKN,0,47.94,44,22.2,5.8,2.7,0.9,41,80
Kevin Garnett, BKN,0,47.81,35,21.4,7.1,7.1,1.8,45.5,86.5
Wayne Ellington, LAL,0,47.75,37,20.5,8.2,2.9,1.3,46.2,77.4
Trevor Booker, UTA,0,47.61,43,18.9,6.9,4.5,1,49.8,62.2
Jameer Nelson, DEN,0,47.6,36,24.1,7.8,2.5,4.5,37.5,72.7
J.J. Barea, DAL,0,47.48,45,15.8,7,1.7,3.2,42.5,80
Caron Butler, DET,0,47.44,45,21.2,5.6,2.8,0.8,38,90.3
JJ Hickson, DEN,0,47.4,37,20.3,8.3,6.6,1,49.6,61.8
Norris Cole, MIA,0,47.31,40,24.4,6.2,2.3,3.3,38.8,71.1
Jabari Parker, MIL ,1,47.2,25,29.5,12.3,5.5,1.7,49,69.7
Miles Plumlee, PHO,0,47.12,46,19.2,4.5,5.2,0.6,56.1,50
Brian Roberts, CHA,0,46.98,45,17.4,6.8,1.3,2.1,42,90.2
Carl Landry, SAC,0,46.83,38,18.7,8.2,4.4,0.5,53.5,85
Gary Neal, CHA,0,46.81,37,22.1,9.8,2.3,1.9,35.6,85.4
Michael Kidd-Gilchrist, CHA,0,46.56,31,26.4,9.9,7.2,1.5,43.7,67.4
Eric Gordon, NO,0,46.45,24,32.5,12,2.7,3.4,43.7,79.5
